Order,Latitude,Longitude,Unused,Altitude,Days,Date,Time
0,39.984683000000004,116.31845,0,492,39744.1202546296,2008-10-23,02:53:10
1,39.984685999999996,116.318417,0,492,39744.1203125,2008-10-23,02:53:15
2,39.984688,116.318385,0,492,39744.1203703704,2008-10-23,02:53:20
3,39.984655,116.31826299999999,0,492,39744.1204282407,2008-10-23,02:53:25
4,39.984611,116.318026,0,493,39744.1204861111,2008-10-23,02:53:30
5,39.984608,116.317761,0,493,39744.1205439815,2008-10-23,02:53:35
6,39.984563,116.317517,0,496,39744.1206018519,2008-10-23,02:53:40
7,39.984539,116.31729399999999,0,500,39744.120659722204,2008-10-23,02:53:45
8,39.984606,116.31706499999999,0,505,39744.120717592596,2008-10-23,02:53:50
9,39.984567999999996,116.316911,0,510,39744.120775463,2008-10-23,02:53:55
10,39.984586,116.31671599999999,0,515,39744.1208333333,2008-10-23,02:54:00
11,39.984561,116.31652700000001,0,520,39744.120891203704,2008-10-23,02:54:05
12,39.984536,116.316354,0,525,39744.1209490741,2008-10-23,02:54:10
13,39.984522999999996,116.31618799999998,0,531,39744.1210069444,2008-10-23,02:54:15
14,39.984516,116.31596299999998,0,536,39744.1210648148,2008-10-23,02:54:20
15,39.984522999999996,116.315823,0,541,39744.1211226852,2008-10-23,02:54:25
16,39.984574,116.315611,0,546,39744.1211805556,2008-10-23,02:54:30
17,39.984567999999996,116.31540700000001,0,551,39744.1212384259,2008-10-23,02:54:35
18,39.984538,116.315148,0,556,39744.121296296296,2008-10-23,02:54:40
19,39.984501,116.314907,0,560,39744.1213541667,2008-10-23,02:54:45
20,39.984532,116.31480800000001,0,564,39744.121412037,2008-10-23,02:54:50
21,39.984504,116.314625,0,569,39744.121469907404,2008-10-23,02:54:55
22,39.984485,116.314426,0,574,39744.121527777796,2008-10-23,02:55:00
23,39.984427000000004,116.31423999999998,0,579,39744.1215856481,2008-10-23,02:55:05
24,39.984485,116.31404199999999,0,584,39744.1216435185,2008-10-23,02:55:10
25,39.98448,116.313818,0,589,39744.1217013889,2008-10-23,02:55:15
26,39.984501,116.31365900000002,0,595,39744.1217592593,2008-10-23,02:55:20
27,39.984618,116.314323,0,113,39744.1218171296,2008-10-23,02:55:25
28,39.984649,116.314107,0,117,39744.121875,2008-10-23,02:55:30
29,39.984621000000004,116.31394099999999,0,121,39744.1219328704,2008-10-23,02:55:35
30,39.984655,116.313724,0,126,39744.1219907407,2008-10-23,02:55:40
31,39.984681,116.313521,0,129,39744.1220486111,2008-10-23,02:55:45
32,39.984708000000005,116.31331100000001,0,133,39744.122106481496,2008-10-23,02:55:50
33,39.984708000000005,116.313099,0,137,39744.1221643519,2008-10-23,02:55:55
34,39.984696,116.312921,0,144,39744.1222222222,2008-10-23,02:56:00
35,39.984677000000005,116.31274599999999,0,153,39744.1222800926,2008-10-23,02:56:05
36,39.984682,116.312525,0,155,39744.122337962996,2008-10-23,02:56:10
37,39.984649,116.31233200000001,0,158,39744.1223958333,2008-10-23,02:56:15
38,39.984640999999996,116.312123,0,164,39744.1224537037,2008-10-23,02:56:20
39,39.984646999999995,116.311917,0,170,39744.1225115741,2008-10-23,02:56:25
40,39.984654,116.31172,0,178,39744.1225694444,2008-10-23,02:56:30
41,39.984631,116.31156899999999,0,180,39744.1226273148,2008-10-23,02:56:35
42,39.984646999999995,116.31138,0,184,39744.1226851852,2008-10-23,02:56:40
43,39.984653,116.31118899999998,0,194,39744.1227430556,2008-10-23,02:56:45
44,39.984628,116.311026,0,206,39744.1228009259,2008-10-23,02:56:50
45,39.984652000000004,116.310854,0,214,39744.1228587963,2008-10-23,02:56:55
46,39.984656,116.31066000000001,0,222,39744.122916666696,2008-10-23,02:57:00
