Order,Latitude,Longitude,Unused,Altitude,Days,Date,Time
0,39.999951,116.327353,0,145,39953.876851851805,2009-05-20,21:02:40
1,39.999966,116.327331,0,145,39953.8769097222,2009-05-20,21:02:45
2,39.999959999999994,116.327262,0,145,39953.876967592594,2009-05-20,21:02:50
3,39.99993,116.32706499999999,0,149,39953.877025463,2009-05-20,21:02:55
4,39.999915,116.326872,0,148,39953.877083333304,2009-05-20,21:03:00
5,39.999911,116.32668400000001,0,140,39953.8771412037,2009-05-20,21:03:05
6,39.999915,116.326479,0,126,39953.8771990741,2009-05-20,21:03:10
7,39.999909,116.326275,0,115,39953.8772569444,2009-05-20,21:03:15
8,39.999904,116.32606299999999,0,101,39953.8773148148,2009-05-20,21:03:20
9,39.999867,116.325865,0,88,39953.8773726852,2009-05-20,21:03:25
10,39.999858,116.325635,0,72,39953.8774305556,2009-05-20,21:03:30
11,39.999859,116.325399,0,56,39953.8774884259,2009-05-20,21:03:35
12,39.999851,116.325172,0,45,39953.8775462963,2009-05-20,21:03:40
13,39.999839,116.32496699999999,0,33,39953.8776041667,2009-05-20,21:03:45
14,39.999857,116.324762,0,17,39953.877662037004,2009-05-20,21:03:50
15,39.999994,116.324652,0,8,39953.8777199074,2009-05-20,21:03:55
16,40.000165,116.32462,0,-2,39953.8777777778,2009-05-20,21:04:00
17,40.00033,116.324593,0,-9,39953.8778356481,2009-05-20,21:04:05
18,40.000491,116.32456499999999,0,-11,39953.877893518504,2009-05-20,21:04:10
19,40.000657000000004,116.324547,0,-7,39953.8779513889,2009-05-20,21:04:15
20,40.000785,116.324529,0,-3,39953.8780092593,2009-05-20,21:04:20
21,40.001024,116.324523,0,5,39953.8780671296,2009-05-20,21:04:25
22,40.001191,116.32455800000001,0,31,39953.878125,2009-05-20,21:04:30
23,40.001406,116.32450700000001,0,85,39953.8781828704,2009-05-20,21:04:35
24,40.001554999999996,116.32451200000001,0,100,39953.8782407407,2009-05-20,21:04:40
25,40.001734,116.324478,0,105,39953.8782986111,2009-05-20,21:04:45
26,40.001944,116.324418,0,122,39953.8783564815,2009-05-20,21:04:50
27,40.002154,116.32440600000001,0,114,39953.8784143519,2009-05-20,21:04:55
28,40.002322,116.324474,0,125,39953.878472222204,2009-05-20,21:05:00
29,40.002474,116.324479,0,146,39953.878530092596,2009-05-20,21:05:05
30,40.00267,116.32441599999999,0,195,39953.878587963,2009-05-20,21:05:10
31,40.00285,116.32438799999998,0,216,39953.8786458333,2009-05-20,21:05:15
32,40.003033,116.32433400000001,0,200,39953.878703703704,2009-05-20,21:05:20
33,40.003233,116.324306,0,185,39953.8787615741,2009-05-20,21:05:25
34,40.003484,116.32436000000001,0,174,39953.8788194444,2009-05-20,21:05:30
35,40.003615,116.324343,0,180,39953.8788773148,2009-05-20,21:05:35
36,40.003839,116.324331,0,189,39953.8789351852,2009-05-20,21:05:40
37,40.004103,116.324297,0,177,39953.8789930556,2009-05-20,21:05:45
38,40.004383000000004,116.32425,0,166,39953.8790509259,2009-05-20,21:05:50
39,40.004619,116.324278,0,163,39953.879108796296,2009-05-20,21:05:55
40,40.004821,116.324273,0,169,39953.8791666667,2009-05-20,21:06:00
41,40.004971999999995,116.32425,0,180,39953.879224537,2009-05-20,21:06:05
42,40.005142,116.32422,0,201,39953.879282407404,2009-05-20,21:06:10
43,40.005339,116.32421699999999,0,209,39953.879340277796,2009-05-20,21:06:15
44,40.005541,116.32425400000001,0,225,39953.8793981481,2009-05-20,21:06:20
45,40.005671,116.324242,0,254,39953.8794560185,2009-05-20,21:06:25
46,40.005812,116.324149,0,240,39953.8795138889,2009-05-20,21:06:30
47,40.006032,116.324179,0,250,39953.8795717593,2009-05-20,21:06:35
48,40.006198,116.32419499999999,0,278,39953.8796296296,2009-05-20,21:06:40
49,40.006414,116.324128,0,268,39953.8796875,2009-05-20,21:06:45
50,40.006603999999996,116.324105,0,246,39953.8797453704,2009-05-20,21:06:50
51,40.006638,116.323948,0,251,39953.8798032407,2009-05-20,21:06:55
52,40.006628000000006,116.32374399999999,0,251,39953.8798611111,2009-05-20,21:07:00
53,40.006617999999996,116.323516,0,257,39953.879918981496,2009-05-20,21:07:05
54,40.006609000000005,116.323276,0,260,39953.8799768519,2009-05-20,21:07:10
55,40.006594,116.323045,0,261,39953.8800347222,2009-05-20,21:07:15
56,40.006598,116.322799,0,259,39953.8800925926,2009-05-20,21:07:20
57,40.006582,116.32256399999999,0,259,39953.880150462996,2009-05-20,21:07:25
58,40.00659,116.322322,0,257,39953.8802083333,2009-05-20,21:07:30
59,40.006605,116.322115,0,251,39953.8802662037,2009-05-20,21:07:35
60,40.006609000000005,116.32188799999999,0,244,39953.8803240741,2009-05-20,21:07:40
61,40.006617999999996,116.321626,0,231,39953.8803819444,2009-05-20,21:07:45
62,40.006589,116.32143300000001,0,221,39953.8804398148,2009-05-20,21:07:50
63,40.006677,116.321274,0,203,39953.8804976852,2009-05-20,21:07:55
64,40.006862,116.32125400000001,0,175,39953.8805555556,2009-05-20,21:08:00
65,40.007041,116.32121399999998,0,155,39953.8806134259,2009-05-20,21:08:05
66,40.007212,116.32118700000001,0,144,39953.8806712963,2009-05-20,21:08:10
67,40.007397999999995,116.321128,0,129,39953.880729166696,2009-05-20,21:08:15
68,40.007415,116.320931,0,121,39953.880787037,2009-05-20,21:08:20
69,40.007424,116.32070300000001,0,108,39953.880844907406,2009-05-20,21:08:25
70,40.007401,116.320503,0,97,39953.8809027778,2009-05-20,21:08:30
71,40.007394,116.32031599999999,0,86,39953.8809606481,2009-05-20,21:08:35
72,40.007406,116.32011999999999,0,75,39953.8810185185,2009-05-20,21:08:40
73,40.007399,116.319928,0,64,39953.8810763889,2009-05-20,21:08:45
74,40.007517,116.319847,0,68,39953.8811342593,2009-05-20,21:08:50
75,40.007635,116.3198,0,63,39953.8811921296,2009-05-20,21:08:55
76,40.00788,116.319658,0,58,39953.8833333333,2009-05-20,21:12:00
77,40.007903000000006,116.319648,0,58,39953.8833912037,2009-05-20,21:12:05
