Order,Latitude,Longitude,Unused,Date,Time
0,39.980956,116.329595,0,10/11/09,11:53:42
1,39.980913,116.329603,0,10/11/09,11:53:47
2,39.980920000000005,116.32961200000001,0,10/11/09,11:53:52
3,39.980928999999996,116.329621,0,10/11/09,11:53:57
4,39.980928999999996,116.329621,0,10/11/09,11:54:00
5,39.980932,116.329624,0,10/11/09,11:54:02
6,39.980923,116.32961,0,10/11/09,11:54:07
7,39.980940000000004,116.3296,0,10/11/09,11:54:12
8,39.980911,116.329625,0,10/11/09,11:54:17
9,39.980921,116.329604,0,10/11/09,11:54:22
10,39.980923,116.329604,0,10/11/09,11:54:27
11,39.980923,116.329604,0,10/11/09,11:54:30
12,39.980924,116.329599,0,10/11/09,11:54:32
13,39.980906,116.32958700000002,0,10/11/09,11:54:37
14,39.98087,116.329567,0,10/11/09,11:54:42
15,39.980856,116.32951000000001,0,10/11/09,11:54:47
16,39.980799,116.329467,0,10/11/09,11:54:52
17,39.980801,116.32941100000001,0,10/11/09,11:54:57
18,39.980783,116.329348,0,10/11/09,11:55:02
19,39.980765000000005,116.329279,0,10/11/09,11:55:07
20,39.980740000000004,116.32921200000001,0,10/11/09,11:55:12
21,39.980725,116.329167,0,10/11/09,11:55:17
22,39.98072,116.329085,0,10/11/09,11:55:22
23,39.980711,116.32899599999999,0,10/11/09,11:55:27
24,39.980705,116.328906,0,10/11/09,11:55:32
25,39.980696,116.32883700000001,0,10/11/09,11:55:37
26,39.980678000000005,116.32878799999999,0,10/11/09,11:55:42
27,39.980662,116.328741,0,10/11/09,11:55:47
28,39.980635,116.328717,0,10/11/09,11:55:52
29,39.980588,116.328681,0,10/11/09,11:55:57
30,39.980571000000005,116.328629,0,10/11/09,11:56:02
31,39.980525,116.328597,0,10/11/09,11:56:07
32,39.98053,116.328497,0,10/11/09,11:56:12
33,39.980507,116.328405,0,10/11/09,11:56:17
34,39.980456,116.328347,0,10/11/09,11:56:22
35,39.980427,116.32831499999999,0,10/11/09,11:56:27
36,39.9804,116.32828500000001,0,10/11/09,11:56:32
37,39.980369,116.328268,0,10/11/09,11:56:37
38,39.980308,116.32826999999999,0,10/11/09,11:56:42
39,39.980245000000004,116.32826000000001,0,10/11/09,11:56:47
40,39.980202,116.328272,0,10/11/09,11:56:52
41,39.980189,116.32828700000002,0,10/11/09,11:56:57
42,39.980137,116.328291,0,10/11/09,11:57:02
43,39.980090000000004,116.32831200000001,0,10/11/09,11:57:07
44,39.980048,116.32833600000001,0,10/11/09,11:57:12
45,39.98,116.328341,0,10/11/09,11:57:17
46,39.979945,116.328332,0,10/11/09,11:57:22
47,39.979881,116.328345,0,10/11/09,11:57:27
48,39.979811,116.32836699999999,0,10/11/09,11:57:32
49,39.97976,116.32835700000001,0,10/11/09,11:57:37
50,39.979693,116.328369,0,10/11/09,11:57:42
51,39.97965,116.328402,0,10/11/09,11:57:47
52,39.979602,116.32839799999999,0,10/11/09,11:57:52
53,39.979568,116.32839299999999,0,10/11/09,11:57:57
54,39.979515,116.328397,0,10/11/09,11:58:02
55,39.979459999999996,116.3284,0,10/11/09,11:58:07
56,39.979420000000005,116.328425,0,10/11/09,11:58:12
57,39.979344,116.328445,0,10/11/09,11:58:17
58,39.979277,116.32846799999999,0,10/11/09,11:58:22
59,39.979240999999995,116.328496,0,10/11/09,11:58:27
60,39.979201,116.328488,0,10/11/09,11:58:32
61,39.979197,116.328451,0,10/11/09,11:58:37
62,39.979203000000005,116.32843000000001,0,10/11/09,11:58:42
63,39.979203999999996,116.32843100000001,0,10/11/09,11:58:47
64,39.979209999999995,116.328423,0,10/11/09,11:58:52
